product_id,product_name,category,price
0,everything,Home,654.6
1,money,Sports,631.03
2,major,Home,402.06
3,dark,Sports,849.15
4,also,Electronics,79.8
5,walk,Clothing,917.24
6,community,Clothing,580.44
7,or,Electronics,823.73
8,past,Electronics,732.48
9,wall,Clothing,282.38
10,fire,Electronics,51.07
11,short,Home,24.76
12,heavy,Sports,509.67
13,religious,Home,864.46
14,together,Clothing,258.09
15,night,Clothing,195.45
16,color,Home,568.22
17,opportunity,Electronics,38.68
18,night,Electronics,52.83
19,night,Sports,804.87
20,its,Home,884.6
21,pull,Sports,248.75
22,open,Home,93.06
23,learn,Clothing,41.46
24,surface,Electronics,682.12
25,international,Electronics,827.13
26,north,Clothing,610.75
27,another,Sports,325.04
28,difference,Clothing,264.02
29,lay,Sports,753.57
30,police,Clothing,617.69
31,trade,Clothing,460.28
32,hundred,Electronics,616.05
33,whom,Clothing,237.63
34,something,Home,453.14
35,into,Electronics,806.16
36,painting,Clothing,926.54
37,recent,Clothing,660.19
38,check,Electronics,357.92
39,through,Clothing,32.27
40,can,Home,312.81
41,kid,Home,268.35
42,wall,Clothing,95.77
43,ever,Clothing,972.48
44,college,Electronics,274.08
45,key,Sports,616.94
46,establish,Home,240.16
47,firm,Sports,542.92
48,cause,Sports,429.03
49,tonight,Home,80.54
50,know,Clothing,127.25
51,human,Home,51.86
52,almost,Sports,763.64
53,hope,Clothing,321.94
54,natural,Sports,937.08
55,choose,Clothing,700.1
56,theory,Electronics,334.66
57,federal,Electronics,571.03
58,seat,Home,270.75
59,instead,Clothing,668.16
60,that,Sports,654.44
61,worry,Home,69.2
62,it,Sports,497.43
63,police,Clothing,57.95
64,others,Clothing,927.46
65,thus,Clothing,927.57
66,allow,Clothing,825.66
67,look,Electronics,867.28
68,evidence,Sports,386.55
69,explain,Electronics,874.79
70,drug,Sports,814.07
71,happy,Sports,507.87
72,design,Clothing,838.02
73,better,Clothing,970.81
74,full,Home,945.36
75,experience,Sports,22.74
76,arrive,Electronics,341.29
77,just,Sports,410.7
78,small,Sports,204.22
79,benefit,Sports,872.5
80,among,Electronics,837.83
81,foreign,Clothing,347.19
82,minute,Sports,729.34
83,speech,Clothing,773.64
84,so,Clothing,191.45
85,international,Electronics,468.12
86,adult,Clothing,928.85
87,responsibility,Home,921.86
88,board,Electronics,17.75
89,way,Clothing,591.0
90,conference,Clothing,142.02
